"country","med.age","perc.1dollar","perc.basic2015sani","perc.safe2015sani","perc.basic2015water","perc.safe2015water","perc.in.school","female.in.school","male.in.school"
"Afghanistan",16.5,,39,,63,,,,
"Albania",32.9,1,98,65,91,69,91.8379,90.63177,92.9704
"Algeria",26.9,,87,19,93,,,,
"Angola",16.3,43.4,39,,41,,,,
"Antigua and Barbuda",30.5,,88,,97,,80.64083,80.33786,80.94106
"Argentina",31.1,1,95,26,100,,97.26677,98.37124,96.19896
"Armenia",32.7,1,92,,99,61,,,
"Australia",37.2,,100,74,100,,98.21267,98.60708,97.83905
"Austria",42.7,,100,97,100,99,,,
"Azerbaijan",29.7,1,89,,84,72,93.55221,92.58471,94.40168
"Bahamas",31.8,,92,,98,,,,
"Bahrain",30.1,,100,93,100,99,96.39323,96.78244,96.01993
"Bangladesh",25.1,43.3,47,,97,56,,,
"Barbados",36.9,,96,,98,,95.35281,96.45,94.31128
"Belarus",39.3,1,94,76,98,94,97.73468,98.18613,97.30741
"Belgium",41.6,,99,97,100,98,98.14035,98.15797,98.12348
"Belize",23,,87,,97,,89.5333,89.13962,89.92035
"Benin",18.4,51.6,14,,67,,,,
"Bhutan",25.8,2.4,63,,98,34,81.97541,84.33497,79.68418
"Bolivia (Plurinational State of)",22.4,8,53,19,93,,87.89582,87.22136,88.54826
"Bosnia and Herzegovina",39.5,1,95,23,98,89,,,
"Botswana",22.5,13.4,60,,79,,,,
"Brazil",30.3,3.8,86,39,97,,92.482,92.82479,92.15378
"Brunei Darussalam",30.5,,96,,100,,90.19668,90.67994,89.74265
"Bulgaria",43,1,86,74,99,97,93.34393,92.45417,94.18293
"Burkina Faso",17.1,44.5,23,,54,,58.23391,57.34929,59.08696
"Burundi",17.6,,50,,56,,,,
"Cabo Verde",24.2,13.7,65,,86,,80.12623,80.43317,79.82304
"Cambodia",24.4,10.1,49,,75,24,,,
"Cameroon",18.3,27.6,39,,65,,77.44594,73.09609,81.73338
"Canada",40.1,1,99,77,99,,95.81283,96.05354,95.58515
"Central African Republic",19.7,62.8,25,,54,,,,
"Chad",15.8,36.5,10,,43,,,,
"Chile",33.1,1,100,85,100,98,92.69857,92.82822,92.57377
"China",37.4,6.3,75,60,96,,,,
"Colombia",27.7,5.6,84,20,97,71,92.01945,92.56452,91.49632
"Comoros",19.1,,34,,84,,,,
"Congo",18.8,32.8,15,,68,37,,,
"Costa Rica",29.7,1,97,,100,90,93.90919,94.10793,93.71929
"Côte d'Ivoire",19,35,30,,73,46,,,
"Croatia",42.6,1,97,60,100,90,94.76085,96.6136,93.00491
"Cuba",40.1,,91,31,95,,91.89853,92.84254,91.01017
"Cyprus",35.2,,99,76,100,100,97.01095,97.26324,96.76995
"Czechia",40.3,1,99,91,100,98,,,
"Democratic People's Republic of Korea",33.6,,77,,100,,,,
"Democratic Republic of the Congo",17.4,,20,,42,,,,
"Denmark",41.1,1,100,93,100,97,95.71858,96.30505,95.16228
"Djibouti",22.8,,51,,77,,47.14033,43.56935,50.62808
"Dominican Republic",25.8,2.3,83,,94,,85.54272,85.41801,85.66365
"Ecuador",26.1,4,86,42,93,74,93.20944,93.65811,92.77806
"Egypt",25.2,1,93,61,98,,,,
"El Salvador",24.1,2.5,91,,93,,83.49498,83.17826,83.80209
"Equatorial Guinea",20.6,,75,,50,,,,
"Eritrea",18.4,,11,,19,,40.07211,37.14189,42.89979
"Estonia",40.9,1,100,93,100,82,94.95061,95.37483,94.54926
"Eswatini",20.1,39.3,58,,68,,78.21111,77.59859,78.82026
"Ethiopia",18.2,36.8,7,,39,11,66.40913,63.82139,68.94574
"Fiji",27.1,5.9,96,,94,,,,
"Finland",42.3,1,99,92,100,97,97.94942,98.00904,97.89245
"France",40.6,,99,92,100,93,97.44548,97.7829,97.12358
"Gabon",20.7,,41,,88,,,,
"Gambia",17,,42,,80,,,,
"Georgia",37.6,14.1,85,,93,73,97.24844,98.13692,96.46058
"Germany",45.5,1,99,95,100,99,,,
"Ghana",20.6,,14,,78,27,83.94441,83.69561,84.18277
"Greece",42.8,1,99,75,100,99,92.49372,91.9947,92.96997
"Grenada",26.3,,88,,96,,95.39996,95.30846,95.48706
"Guatemala",19.4,13.7,67,,94,61,76.33354,75.01474,77.60021
"Guinea",18.6,40.9,22,,67,,,,
"Guinea-Bissau",19.1,,21,,69,,,,
"Guyana",22.6,,86,,95,,,,
"Haiti",22.2,,31,,64,,,,
"Honduras",21.9,16.5,80,,92,,68.50952,70.05153,67.02192
"Hungary",40.6,1,98,76,100,82,93.52822,93.67942,93.38513
"Iceland",35.5,1,99,69,100,98,94.25337,94.73945,93.78697
"India",26.4,24.7,44,,88,,,,
"Indonesia",27.8,16.2,68,,90,,,,
"Iran (Islamic Republic of)",28.5,,88,,95,91,88.13856,87.90468,88.35681
"Iraq",19.7,3.9,86,32,86,,,,
"Ireland",35.3,1,92,70,99,99,99.77626,,
"Israel",30.1,1,100,93,100,99,98.34359,98.8393,97.87407
"Italy",44.3,1,99,95,100,94,97.72174,97.46003,97.96961
"Jamaica",27.7,,85,,93,,,,
"Japan",45.9,1,100,100,99,97,98.45624,98.84415,98.08843
"Jordan",23.4,1,97,77,99,93,,,
"Kazakhstan",29.4,1,98,,91,,,,
"Kenya",18.8,,30,,58,,,,
"Kiribati",23.5,,40,,64,,,,
"Kuwait",29.2,,100,100,100,100,92.54955,94.93118,90.36027
"Kyrgyzstan",24.6,5.1,97,,87,66,91.47844,92.44216,90.55288
"Lao People's Democratic Republic",21.4,30.3,73,,80,,81.22689,79.721,82.68145
"Latvia",41.5,1,93,78,99,82,96.54623,97.05617,96.06172
"Lebanon",29.8,,95,20,92,48,,,
"Lesotho",20.7,56.2,44,,72,,75.45066,77.94521,72.98044
"Liberia",18.5,83.8,17,,70,,53.11508,50.46198,55.66882
"Libya",26.6,,100,26,97,,,,
"Lithuania",39.3,1,94,61,97,92,99.19103,99.40127,98.99127
"Luxembourg",39,,98,94,100,98,91.56046,92.717,90.46439
"Madagascar",18.4,87.7,10,,51,,,,
"Malawi",17.2,72.2,44,,67,,83.01217,83.55514,82.47277
"Malaysia",27.4,1,100,82,96,92,86.81791,88.39377,85.32603
"Maldives",25,,96,,98,,,,
"Mali",16.3,50.6,31,,74,,52.80126,49.00399,56.4941
"Malta",40.9,,100,93,100,100,94.90458,97.01787,92.92693
"Mauritania",19.8,23.4,45,,70,,,,
"Mauritius",34.6,1,93,,100,,92.36951,94.14092,90.65909
"Mexico",27,1,89,45,98,43,89.0306,89.83108,88.2618
"Micronesia (Federated States of)",21,,,,88,,,,
"Mongolia",26.8,,59,,83,,,,
"Montenegro",37.1,1,96,,98,90,,,
"Morocco",27,2.6,83,38,83,69,,,
"Mozambique",17.3,60.7,24,,47,,73.52982,70.66107,76.39014
"Myanmar",29,,65,,68,,,,
"Namibia",21.2,23.5,34,,79,,,,
"Nepal",22.4,23.7,46,,88,27,81.32964,84.17792,78.61284
"Netherlands",41.8,1,98,97,100,100,,,
"New Zealand",37,,100,76,100,100,97.01764,97.62281,96.44596
"Nicaragua",23.1,8.5,76,,82,59,,,
"Niger",15,40.8,13,9,46,,44.95451,40.05201,49.76405
"Nigeria",17.8,62,33,,67,19,,,
"Norway",39,1,98,78,100,95,97.76491,97.90568,97.63103
"Oman",26.3,,99,,91,89,96.34362,96.3879,96.30078
"Pakistan",22.5,12.7,58,,89,36,56.96193,51.42724,62.08989
"Panama",27.9,4,77,,95,,83.23535,83.69703,82.79087
"Papua New Guinea",20.9,,19,,37,,,,
"Paraguay",23.9,3,91,,99,,,,
"Peru",26.5,2.9,77,30,90,50,,,
"Philippines",23,19,75,,91,,93.92553,95.37575,92.564
"Poland",38.8,1,98,77,98,94,94.20248,94.4196,93.99637
"Portugal",42.2,,99,62,100,95,98.05387,97.39457,98.69077
"Qatar",31.7,,100,88,100,,89.4439,95.34383,84.43505
"Republic of Korea",39.4,,100,98,100,98,98.09959,98.34834,97.87099
"Republic of Moldova",35.8,1,78,,87,70,82.08397,82.05888,82.10771
"Romania",39.4,1,82,57,100,99,,,
"Russian Federation",38.3,1,89,,96,76,,,
"Rwanda",18.2,63,62,,57,,,,
"Saint Lucia",30.5,,91,,98,,,,
"Saint Vincent and the Grenadines",29,,87,,95,,94.04606,95.65852,92.46883
"Samoa",21,,97,,96,,91.60113,93.61099,89.73585
"Sao Tome and Principe",19.2,43.5,40,,80,,89.0962,89.39011,88.80657
"Saudi Arabia",27.5,,100,84,100,,,,
"Senegal",18.1,34.1,48,24,75,,,,
"Serbia",38.7,1,95,24,91,88,96.10382,96.6643,95.57423
"Seychelles",32.6,1,100,,96,,,,
"Sierra Leone",19.1,56.6,15,,58,,71.0132,70.24976,71.78544
"Singapore",38.1,,100,100,100,100,,,
"Slovakia",38.2,1,99,82,98,93,,,
"Slovenia",42.4,1,99,76,100,98,97.87173,98.28771,97.48012
"Solomon Islands",19.7,,31,,64,,,,
"Somalia",16.3,,16,14,40,,,,
"South Africa",26,9.4,73,,85,,90.17675,89.26763,91.07381
"South Sudan",18.6,,10,,50,,33.32038,27.86278,38.65942
"Spain",41.4,2.3,100,97,100,98,98.98436,99.1734,98.80578
"Sri Lanka",31.4,4.1,94,,92,,,,
"Sudan",19.2,19.8,35,,59,,,,
"Suriname",28.5,,79,,95,,84.16277,87.20792,81.32013
"Sweden",41,,99,92,100,98,99.24455,99.11864,99.36322
"Switzerland",42,,100,99,100,95,93.55707,93.2131,93.88346
"Syrian Arab Republic",22.4,,93,,97,,,,
"Tajikistan",21.7,6.5,95,,74,47,,,
"Thailand",36.9,1,95,,98,,,,
"Timor-Leste",16.6,34.9,44,,70,,79.73874,80.79156,78.72829
"Togo",18.9,52.5,14,,63,,,,
"Tonga",21.3,,93,,100,,89.69771,91.2018,88.31891
"Trinidad and Tobago",33.3,,92,,97,,,,
"Tunisia",30.3,1,93,73,94,93,,,
"Turkey",29.4,1,96,44,99,,90.73127,89.93794,91.49488
"Turkmenistan",25.6,,97,,94,86,,,
"Uganda",15.8,37.8,19,,39,6,,,
"Ukraine",39.7,1,96,,98,92,,,
"United Arab Emirates",30,,100,93,100,,,,
"United Kingdom of Great Britain and Northern Ireland",40.2,1,99,98,100,96,99.44439,99.65378,99.24457
"United Republic of Tanzania",17.5,43.5,24,,50,,,,
"United States of America",37.4,1,100,89,99,99,95.57265,96.26928,94.90529
"Uruguay",34.4,1,96,64,99,,93.08955,94.15098,92.07206
"Uzbekistan",25.3,,100,,,,91.8608,91.32157,92.37583
"Vanuatu",21.7,,53,,91,,83.91766,84.24435,83.62023
"Venezuela (Bolivarian Republic of)",27,,95,19,97,,87.72761,88.18993,87.28386
"Viet Nam",29.8,2.4,78,,91,,,,
"Yemen",19.1,,60,,70,,,,
"Zambia",16.6,74.3,31,,61,,,,
"Zimbabwe",19.5,,39,,67,,,,
